aum_savings,aum_inheritance,aum_real_estate_value,number_of_children,summary_type,age,inheritance_age,secondary_school_graduation_age,number_of_universities,earliest_university_graduation_age,latest_university_graduation_age,total_years_of_employment,total_gap_years,num_jobs,num_jobs_squared,longest_job_duration,longest_job_duration_sin,longest_job_duration_cos,shortest_job_duration,maximum_salary,minimum_salary,average_salary,most_recent_job_end_age,most_recent_job_start_age,total_property_count,total_property_value,num_property_types,max_property_value,min_property_value,marital_status_divorced,marital_status_married,marital_status_single,marital_status_widowed,inheritance_details_profession_,inheritance_details_profession_Corporate Lawyer,inheritance_details_profession_Hedge Fund Manager,inheritance_details_profession_Investment Banker,inheritance_details_profession_Neurosurgeon,inheritance_details_profession_Oil and Gas Executive,inheritance_details_profession_Private Equity Manager,inheritance_details_profession_Real Estate Developer,inheritance_details_profession_Stock Trader,inheritance_details_profession_Tech Entrepreneur,inheritance_details_profession_Venture Capitalist,inheritance_details_relationship_,inheritance_details_relationship_father,inheritance_details_relationship_grandfather,inheritance_details_relationship_grandmother,inheritance_details_relationship_mother,investment_risk_profile_,investment_risk_profile_Considerable,investment_risk_profile_High,investment_risk_profile_Low,investment_risk_profile_Moderate,investment_horizon_Long-Term,investment_horizon_Medium,investment_horizon_Short,investment_experience_Experienced,investment_experience_Expert,investment_experience_Inexperienced,type_of_mandate_Advisory,type_of_mandate_Discretionary,currency_CHF,currency_DKK,currency_EUR,Spain,Denmark,Germany,Italy,Netherlands,France,Finland,Switzerland,Belgium,Austria
0,13140000,0,0,6,22,18.0,20,0,,,0,0,0,0,0,0.0,1.0,0,0,0,,,,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
20000,1350000,0,0,1,27,19.0,20,1,24.0,24.0,3,0,1,1,3,0.49999999999999994,0.8660254037844387,3,43000,43000,10.668978650219241,28.0,25.0,0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
1450000,2690000,2825000,2,4,59,47.0,17,1,22.0,22.0,29,6,5,25,19,-0.17364817766693003,-0.9848077530122081,1,821000,26000,12.278397958261774,59.0,40.0,2,14.854019276544916,2,1830000,995000,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
1590000,670000,1790000,2,2,58,46.0,20,1,23.0,23.0,31,3,5,25,26,-0.984807753012208,-0.17364817766693033,1,929000,27000,12.352771342460947,59.0,33.0,1,14.397726736475999,1,1790000,1790000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
360000,1360000,3200000,0,0,50,32.0,18,2,24.0,29.0,26,1,2,4,24,-0.8660254037844385,-0.5000000000000004,2,231000,33000,11.790564777297387,51.0,27.0,2,14.978661680269907,2,2150000,1050000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
1090000,1870000,820000,1,1,52,33.0,18,1,24.0,24.0,25,1,5,25,15,0.5000000000000003,-0.8660254037844385,1,736000,35000,12.244336169955224,50.0,35.0,1,13.617060838751888,1,820000,820000,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2910000,0,5940000,1,2,68,,19,2,23.0,28.0,34,3,5,25,24,-0.8660254037844385,-0.5000000000000004,1,1814000,45000,12.95749109270188,60.0,36.0,3,15.597219859688982,2,2510000,1210000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0
1740000,0,1860000,1,2,64,,18,1,24.0,24.0,33,4,5,25,26,-0.984807753012208,-0.17364817766693033,1,891000,26000,12.323860125621126,60.0,34.0,2,14.436087583323648,2,960000,900000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
560000,0,3820000,2,4,63,,19,1,25.0,25.0,37,0,2,4,36,-2.4492935982947064e-16,1.0,1,276000,26000,11.92504173829169,61.0,25.0,3,15.155761242362829,3,2130000,790000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
190000,4640000,2280000,3,0,38,31.0,18,1,24.0,24.0,12,3,3,9,6,0.8660254037844386,0.5000000000000001,1,180000,47000,11.475580058995419,39.0,33.0,1,14.639686439527019,1,2280000,2280000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
120000,270000,4124000,0,1,45,34.0,18,1,24.0,24.0,18,2,2,4,13,0.766044443118978,-0.6427876096865394,5,74000,32000,10.87806606028079,45.0,32.0,3,15.232334366601984,2,1914000,940000,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
