iter	Passed	Remaining
0	174	523322
1	178	268125
2	184	184173
3	188	141539
4	193	115784
5	197	98654
6	202	86476
7	206	77186
8	210	69987
9	220	65882
10	246	66931
11	263	65493
12	267	61420
13	271	57915
14	275	54754
15	278	51986
16	285	50056
17	288	47846
18	294	46173
19	296	44177
20	298	42361
21	300	40696
22	308	39954
23	314	39045
24	323	38519
25	330	37815
26	341	37608
27	346	36794
28	352	36072
29	359	35624
30	362	34683
31	364	33819
32	367	33046
33	371	32376
34	373	31626
35	375	30916
36	378	30277
37	382	29808
38	384	29212
39	387	28638
40	389	28130
41	392	27616
42	394	27135
43	398	26744
44	400	26323
45	403	25887
46	405	25460
47	407	25049
48	409	24681
49	411	24304
50	414	23957
51	416	23602
52	418	23261
53	420	22937
54	423	22653
55	426	22444
56	430	22216
57	432	21952
58	437	21822
59	441	21615
60	443	21375
61	449	21278
62	456	21277
63	460	21110
64	465	21001
65	467	20782
66	470	20608
67	473	20410
68	475	20209
69	478	20031
70	481	19845
71	483	19649
72	488	19604
73	497	19678
74	505	19719
75	510	19647
76	515	19570
77	519	19465
78	522	19320
79	525	19164
80	528	19037
81	532	18966
82	535	18814
83	538	18676
84	540	18552
85	543	18415
86	550	18430
87	553	18324
88	555	18180
89	561	18170
90	564	18049
91	566	17911
92	570	17847
93	572	17713
94	574	17572
95	579	17519
96	582	17429
97	585	17349
98	587	17226
99	590	17113
100	592	17005
101	597	16968
102	602	16950
103	605	16860
104	608	16770
105	612	16709
106	615	16645
107	618	16557
108	620	16448
109	622	16344
110	624	16244
111	625	16137
112	627	16031
113	629	15927
114	630	15825
115	632	15726
116	634	15628
117	635	15531
118	637	15435
119	639	15341
120	641	15253
121	642	15163
122	644	15073
123	646	14988
124	648	14912
125	650	14838
126	652	14755
127	654	14676
128	657	14628
129	659	14551
130	660	14472
131	662	14394
132	664	14329
133	667	14281
134	672	14267
135	675	14221
136	678	14184
137	681	14125
138	682	14056
139	685	14012
140	688	13962
141	691	13911
142	694	13883
143	696	13814
144	699	13778
145	702	13736
146	705	13690
147	709	13673
148	714	13667
149	717	13623
150	719	13571
151	722	13537
152	727	13534
153	730	13499
154	732	13440
155	736	13431
156	739	13383
157	741	13334
158	743	13287
159	745	13238
160	747	13189
161	750	13153
162	752	13104
163	754	13049
164	756	12995
165	758	12941
166	759	12887
167	761	12834
168	763	12782
169	764	12732
170	770	12754
171	774	12729
172	776	12692
173	780	12672
174	782	12638
175	786	12611
176	788	12569
177	790	12537
178	793	12498
179	795	12456
180	796	12410
181	800	12392
182	805	12394
183	807	12355
184	809	12312
185	812	12287
186	815	12273
187	818	12240
188	821	12214
189	824	12199
190	827	12164
191	828	12121
192	832	12100
193	834	12065
194	836	12027
195	838	11997
196	841	11968
197	842	11928
198	844	11888
199	846	11853
200	848	11814
201	850	11779
202	852	11740
203	853	11701
204	857	11684
205	858	11646
206	860	11614
207	869	11672
208	874	11677
209	881	11708
210	890	11767
211	900	11845
212	903	11821
213	912	11880
214	917	11888
215	921	11872
216	924	11861
217	930	11878
218	933	11854
219	940	11878
220	945	11889
221	948	11866
222	951	11849
223	953	11821
224	956	11801
225	959	11783
226	962	11756
227	964	11723
228	966	11691
229	968	11663
230	972	11652
231	977	11666
232	980	11643
233	982	11614
234	987	11617
235	990	11604
236	992	11573
237	997	11574
238	1002	11578
239	1011	11633
240	1016	11639
241	1023	11664
242	1029	11684
243	1032	11663
244	1038	11681
245	1041	11659
246	1043	11626
247	1044	11593
248	1046	11563
249	1048	11531
250	1050	11500
251	1051	11468
252	1055	11458
253	1057	11428
254	1059	11406
255	1061	11380
256	1063	11355
257	1067	11345
258	1069	11322
259	1071	11294
260	1073	11267
261	1075	11237
262	1077	11217
263	1080	11194
264	1083	11185
265	1086	11167
266	1088	11140
267	1090	11114
268	1093	11098
269	1095	11076
270	1098	11057
271	1101	11044
272	1103	11022
273	1106	11004
274	1110	11001
275	1114	10997
276	1117	10988
277	1120	10974
278	1123	10953
279	1125	10929
280	1126	10902
281	1128	10881
282	1130	10854
283	1135	10856
284	1138	10845
285	1141	10833
286	1145	10829
287	1149	10828
288	1155	10839
289	1159	10833
290	1161	10815
291	1164	10799
292	1166	10779
293	1169	10760
294	1171	10746
295	1174	10733
296	1176	10711
297	1179	10696
298	1182	10682
299	1184	10660
300	1186	10640
301	1188	10617
302	1190	10597
303	1194	10594
304	1200	10607
305	1205	10609
306	1207	10588
307	1209	10572
308	1213	10564
309	1214	10542
310	1216	10519
311	1220	10512
312	1223	10507
313	1228	10504
314	1230	10486
315	1232	10464
316	1233	10443
317	1235	10420
318	1239	10418
319	1246	10443
320	1249	10427
321	1255	10440
322	1261	10452
323	1263	10432
324	1265	10412
325	1266	10390
326	1268	10369
327	1270	10351
328	1274	10345
329	1277	10336
330	1279	10319
331	1282	10306
332	1285	10291
333	1286	10271
334	1291	10273
335	1293	10257
336	1295	10238
337	1298	10224
338	1301	10213
339	1302	10193
340	1305	10181
341	1308	10168
342	1310	10151
343	1313	10138
344	1315	10123
345	1318	10112
346	1320	10099
347	1323	10087
348	1325	10070
349	1327	10050
350	1336	10083
351	1341	10091
352	1347	10106
353	1350	10097
354	1360	10133
355	1362	10118
356	1365	10108
357	1367	10095
358	1372	10098
359	1375	10083
360	1377	10066
361	1380	10056
362	1382	10043
363	1387	10045
364	1389	10030
365	1391	10011
366	1392	9991
367	1395	9980
368	1399	9977
369	1402	9966
370	1404	9955
371	1407	9942
372	1409	9924
373	1411	9909
374	1414	9899
375	1419	9903
376	1421	9890
377	1423	9876
378	1425	9860
379	1427	9844
380	1429	9826
381	1431	9809
382	1433	9791
383	1435	9776
384	1436	9759
385	1439	9747
386	1442	9736
387	1447	9744
388	1451	9740
389	1453	9728
390	1456	9715
391	1460	9720
392	1466	9728
393	1471	9730
394	1474	9724
395	1481	9741
396	1487	9753
397	1493	9764
398	1497	9762
399	1501	9757
400	1504	9749
401	1507	9741
402	1509	9728
403	1516	9743
404	1520	9740
405	1523	9731
406	1526	9726
407	1535	9753
408	1538	9745
409	1544	9759
410	1549	9760
411	1551	9747
412	1557	9758
413	1567	9792
414	1573	9803
415	1582	9828
416	1585	9821
417	1589	9817
418	1592	9810
419	1595	9801
420	1599	9796
421	1601	9786
422	1605	9780
423	1607	9768
424	1611	9761
425	1613	9749
426	1616	9737
427	1618	9723
428	1620	9710
429	1622	9696
430	1624	9682
431	1628	9680
432	1631	9674
433	1634	9660
434	1636	9649
435	1638	9636
436	1640	9623
437	1643	9613
438	1646	9607
439	1650	9602
440	1653	9594
441	1656	9586
442	1660	9584
443	1663	9578
444	1669	9586
445	1671	9573
446	1679	9590
447	1685	9601
448	1688	9593
449	1691	9587
450	1695	9581
451	1699	9580
452	1704	9585
453	1710	9594
454	1716	9599
455	1721	9605
456	1727	9615
457	1733	9621
458	1740	9633
459	1747	9650
460	1752	9650
461	1755	9641
462	1758	9636
463	1762	9631
464	1764	9620
465	1769	9620
466	1772	9612
467	1775	9605
468	1779	9603
469	1788	9626
470	1793	9627
471	1797	9627
472	1801	9621
473	1805	9620
474	1808	9615
475	1811	9604
476	1816	9605
477	1820	9604
478	1823	9596
479	1825	9585
480	1829	9581
481	1832	9575
482	1835	9563
483	1837	9551
484	1839	9539
485	1841	9527
486	1843	9514
487	1845	9502
488	1848	9489
489	1850	9477
490	1852	9466
491	1854	9454
492	1860	9459
493	1864	9460
494	1868	9456
495	1871	9448
496	1874	9440
497	1877	9433
498	1881	9430
499	1885	9426
500	1888	9419
501	1895	9432
502	1899	9429
503	1901	9418
504	1905	9412
505	1912	9426
506	1919	9436
507	1925	9444
508	1930	9445
509	1932	9436
510	1935	9428
511	1938	9419
512	1940	9408
513	1944	9403
514	1947	9396
515	1950	9387
516	1952	9376
517	1954	9365
518	1956	9354
519	1962	9357
520	1964	9346
521	1970	9352
522	1976	9360
523	1979	9353
524	1981	9342
525	1984	9334
526	1986	9323
527	1990	9319
528	1993	9313
529	2000	9321
530	2007	9332
531	2011	9333
532	2016	9331
533	2018	9321
534	2029	9350
535	2032	9342
536	2034	9332
537	2037	9322
538	2042	9325
539	2044	9315
540	2047	9306
541	2053	9313
542	2056	9307
543	2059	9299
544	2063	9293
545	2067	9291
546	2070	9287
547	2074	9281
548	2077	9273
549	2080	9266
550	2082	9257
551	2085	9247
552	2087	9237
553	2090	9228
554	2093	9224
555	2097	9221
556	2100	9214
557	2103	9204
558	2105	9194
559	2107	9183
560	2110	9177
561	2113	9167
562	2117	9165
563	2120	9157
564	2124	9156
565	2130	9162
566	2135	9164
567	2140	9163
568	2142	9155
569	2146	9150
570	2148	9139
571	2150	9128
572	2153	9122
573	2156	9113
574	2159	9108
575	2161	9098
576	2164	9090
577	2168	9087
578	2174	9090
579	2184	9115
580	2191	9122
581	2194	9118
582	2198	9114
583	2201	9108
584	2204	9101
585	2208	9097
586	2211	9090
587	2213	9080
588	2216	9072
589	2219	9067
590	2223	9062
591	2225	9053
592	2232	9060
593	2235	9055
594	2241	9059
595	2243	9049
596	2246	9041
597	2251	9043
598	2253	9034
599	2258	9033
600	2263	9034
601	2266	9026
602	2268	9018
603	2273	9016
604	2276	9013
605	2283	9021
606	2288	9023
607	2292	9019
608	2300	9032
609	2304	9029
610	2306	9019
611	2309	9011
612	2312	9005
613	2315	8999
614	2318	8989
615	2321	8984
616	2326	8984
617	2329	8977
618	2332	8970
619	2335	8963
620	2337	8955
621	2340	8948
622	2346	8954
623	2350	8951
624	2360	8969
625	2362	8960
626	2369	8968
627	2372	8961
628	2381	8975
629	2384	8972
630	2387	8963
631	2392	8963
632	2396	8961
633	2402	8965
634	2405	8959
635	2409	8956
636	2413	8952
637	2418	8953
638	2422	8950
639	2426	8946
640	2429	8942
641	2433	8938
642	2439	8940
643	2441	8931
644	2443	8921
645	2448	8921
646	2452	8918
647	2457	8919
648	2461	8915
649	2464	8911
650	2467	8902
651	2471	8900
652	2473	8891
653	2477	8888
654	2488	8909
