iter	Passed	Remaining
0	2	2782
1	3	2248
2	5	2004
3	6	1889
4	8	1830
5	10	1940
6	12	2044
7	14	2050
8	16	2044
9	20	2291
10	21	2242
11	23	2182
12	24	2129
13	26	2099
14	27	2061
15	28	2023
16	30	1998
17	31	1972
18	33	1962
19	34	1932
20	36	1914
21	37	1888
22	38	1868
23	39	1849
24	41	1830
25	42	1810
26	43	1792
27	44	1775
28	46	1760
29	47	1744
30	48	1732
31	49	1721
32	51	1709
33	52	1696
34	53	1685
35	54	1674
36	56	1665
37	57	1653
38	58	1652
39	59	1643
40	61	1634
41	62	1627
42	63	1619
43	64	1611
44	66	1603
45	67	1597
46	68	1591
47	70	1587
48	71	1579
49	72	1572
50	73	1568
51	74	1561
52	76	1556
53	77	1551
54	78	1550
55	80	1545
56	81	1541
57	82	1537
58	83	1532
59	85	1529
60	86	1525
61	87	1521
62	89	1516
63	90	1511
64	91	1507
65	92	1502
66	93	1498
67	95	1495
68	96	1492
69	97	1488
70	98	1484
71	100	1481
72	101	1478
73	102	1473
74	103	1470
75	105	1467
76	106	1463
77	107	1460
78	108	1457
79	110	1453
80	111	1450
81	112	1447
82	113	1444
83	115	1440
84	116	1438
85	117	1435
86	118	1432
87	120	1430
88	121	1427
89	122	1424
90	123	1421
91	125	1418
92	126	1415
93	127	1412
94	128	1409
95	130	1409
96	131	1408
97	132	1405
98	133	1403
99	135	1400
100	136	1398
101	138	1399
102	139	1397
103	140	1395
104	141	1393
105	143	1391
106	144	1391
107	146	1390
108	147	1390
109	148	1389
110	150	1389
111	151	1389
112	153	1388
113	154	1385
114	155	1383
115	157	1381
116	158	1378
117	159	1375
118	160	1374
119	162	1373
120	163	1372
121	165	1373
122	166	1372
123	168	1372
124	169	1370
125	170	1369
126	172	1368
127	173	1365
128	174	1364
129	176	1363
130	177	1361
131	178	1359
132	180	1358
133	181	1355
134	182	1354
135	184	1353
136	185	1352
137	186	1351
138	188	1349
139	189	1347
140	190	1346
141	192	1345
142	193	1343
143	194	1342
144	196	1340
145	197	1338
146	198	1337
147	200	1335
148	201	1333
149	202	1331
150	203	1330
151	205	1328
152	206	1327
153	207	1325
154	209	1324
155	210	1322
156	211	1320
157	213	1318
158	214	1317
159	215	1315
160	217	1314
161	218	1312
162	219	1310
163	220	1309
164	222	1307
165	223	1305
166	224	1304
167	226	1302
168	227	1300
169	228	1299
170	229	1297
171	231	1295
172	232	1294
173	233	1292
174	235	1291
175	236	1289
176	237	1288
177	239	1287
178	240	1285
179	241	1283
180	242	1281
181	244	1281
182	245	1279
183	247	1280
184	249	1280
185	250	1279
186	251	1277
187	253	1276
188	254	1275
189	255	1274
190	257	1273
191	258	1272
192	260	1271
193	261	1271
194	263	1271
195	264	1270
196	266	1270
197	268	1269
198	269	1268
199	271	1269
200	273	1270
201	274	1269
202	276	1269
203	277	1268
204	279	1270
205	281	1270
206	282	1269
207	284	1268
208	285	1267
209	287	1267
210	289	1268
211	290	1268
212	293	1269
213	294	1269
214	296	1269
215	298	1269
216	299	1270
217	301	1269
218	302	1268
219	304	1267
220	305	1266
221	307	1266
222	309	1266
223	310	1265
224	312	1264
225	313	1263
226	315	1261
227	316	1260
228	318	1260
229	319	1259
230	321	1258
231	322	1258
232	324	1257
233	326	1256
234	327	1256
235	329	1255
236	330	1254
237	332	1253
238	333	1252
239	335	1251
240	336	1250
241	338	1249
242	339	1248
243	341	1247
244	342	1246
245	344	1245
246	345	1243
247	347	1243
248	348	1242
249	350	1241
250	351	1240
251	353	1239
252	355	1239
253	356	1238
254	358	1237
255	359	1237
256	361	1236
257	362	1235
258	364	1234
259	366	1233
260	367	1232
261	369	1231
262	370	1230
263	372	1229
264	373	1228
265	375	1228
266	377	1227
267	378	1226
268	380	1225
269	381	1225
270	383	1224
271	385	1223
272	386	1222
273	388	1221
274	389	1220
275	391	1221
276	393	1221
277	395	1221
278	397	1220
279	399	1221
280	401	1221
281	402	1220
282	404	1220
283	406	1219
284	408	1219
285	410	1219
286	412	1219
287	414	1219
288	416	1219
289	417	1219
290	419	1218
291	421	1218
292	423	1218
293	425	1217
294	426	1216
295	428	1215
296	430	1215
297	432	1214
298	433	1214
299	435	1213
300	437	1212
301	439	1212
302	441	1212
303	442	1211
304	444	1211
305	446	1210
306	447	1209
307	449	1208
308	451	1209
309	453	1209
310	455	1209
311	457	1208
312	459	1207
313	461	1207
314	462	1206
315	464	1205
316	466	1204
317	468	1204
318	470	1204
319	472	1204
320	474	1203
321	475	1202
322	477	1202
323	479	1201
324	480	1199
325	482	1199
326	484	1199
327	486	1198
328	488	1197
329	490	1196
330	491	1196
331	493	1195
332	495	1194
333	496	1193
334	498	1192
335	501	1193
336	502	1192
337	504	1191
338	506	1190
339	508	1189
340	509	1188
341	511	1188
342	513	1187
343	516	1188
344	518	1188
345	520	1187
346	522	1188
347	524	1188
348	526	1187
349	528	1187
350	530	1187
351	532	1186
352	535	1186
353	537	1186
354	540	1188
355	542	1187
356	544	1187
357	546	1187
358	548	1186
359	550	1185
360	552	1185
361	554	1184
362	555	1183
363	557	1182
364	559	1182
365	561	1181
366	563	1180
367	565	1179
368	567	1178
369	569	1178
370	571	1178
371	573	1177
372	575	1177
373	577	1177
374	580	1177
375	582	1176
376	584	1176
377	586	1175
378	588	1175
379	590	1174
380	592	1173
381	594	1173
382	596	1172
383	598	1171
384	600	1171
385	602	1170
386	604	1169
387	606	1168
388	608	1168
389	610	1167
390	612	1166
391	614	1166
392	616	1165
393	618	1164
394	620	1164
395	623	1164
396	625	1163
397	627	1163
398	629	1163
399	631	1162
400	634	1162
401	637	1163
402	639	1164
403	643	1166
404	645	1165
405	648	1165
406	650	1165
407	654	1167
408	657	1168
409	660	1169
410	663	1170
411	667	1172
412	671	1175
413	674	1176
414	678	1178
415	680	1178
416	683	1177
417	685	1177
418	688	1177
419	690	1176
420	692	1176
421	695	1176
422	697	1175
423	699	1175
424	702	1174
425	704	1174
426	706	1173
427	709	1173
428	711	1172
429	713	1172
430	715	1171
431	718	1170
432	720	1170
433	722	1169
434	725	1168
435	727	1167
436	729	1166
437	731	1166
438	734	1166
439	737	1166
440	739	1165
441	742	1165
442	744	1164
443	746	1164
444	749	1163
445	752	1163
446	754	1162
447	757	1163
448	759	1162
449	762	1161
450	764	1161
451	767	1161
452	770	1161
453	773	1161
454	776	1162
455	778	1161
456	781	1160
457	783	1159
458	786	1159
459	788	1159
460	791	1159
461	793	1158
462	796	1157
463	798	1156
464	801	1155
465	803	1154
466	805	1154
467	807	1153
468	810	1151
469	812	1150
470	814	1150
471	816	1149
472	819	1148
473	821	1147
474	824	1146
475	826	1145
476	828	1144
477	830	1143
478	833	1142
479	835	1142
480	838	1141
481	841	1141
482	843	1140
483	845	1139
484	848	1138
485	855	1144
486	860	1146
487	862	1145
488	866	1146
489	869	1146
490	873	1147
491	878	1149
492	882	1150
493	885	1151
494	888	1150
495	894	1153
496	897	1153
497	900	1153
498	907	1158
499	913	1161
500	916	1161
501	918	1160
502	922	1160
503	927	1162
504	929	1161
505	934	1163
506	938	1164
507	942	1164
508	945	1165
509	949	1165
510	953	1165
511	959	1169
512	965	1172
513	968	1172
514	974	1174
515	982	1180
516	998	1194
517	1003	1196
518	1005	1195
519	1008	1195
520	1011	1193
521	1013	1191
522	1017	1192
523	1021	1193
524	1026	1194
525	1030	1195
526	1033	1194
527	1039	1197
528	1043	1197
529	1046	1196
530	1050	1197
531	1054	1196
532	1057	1196
533	1060	1195
534	1063	1194
535	1066	1193
536	1070	1194
537	1072	1192
538	1076	1191
539	1078	1190
540	1086	1194
541	1091	1195
542	1094	1194
543	1098	1195
544	1103	1196
545	1106	1195
546	1110	1195
547	1113	1194
548	1116	1193
549	1120	1193
550	1124	1194
551	1128	1193
552	1131	1192
553	1135	1192
554	1138	1191
555	1141	1190
556	1144	1189
557	1148	1189
558	1154	1191
559	1157	1190
560	1162	1191
561	1164	1189
562	1167	1188
563	1170	1186
564	1173	1185
565	1177	1186
566	1182	1186
567	1185	1185
568	1188	1184
569	1191	1183
570	1193	1181
571	1196	1179
572	1198	1177
573	1200	1175
574	1202	1173
575	1205	1171
576	1207	1170
577	1209	1167
578	1212	1166
579	1214	1164
580	1216	1162
581	1219	1160
582	1221	1158
583	1223	1156
584	1225	1154
585	1227	1152
586	1229	1150
587	1231	1147
588	1234	1146
589	1236	1143
590	1238	1141
591	1240	1139
592	1242	1137
593	1244	1135
594	1246	1133
595	1248	1131
596	1250	1129
597	1252	1127
598	1254	1124
599	1256	1122
600	1258	1120
601	1261	1118
602	1263	1116
603	1265	1114
604	1267	1112
605	1269	1110
606	1271	1108
607	1273	1106
608	1275	1104
609	1277	1101
610	1280	1099
611	1282	1098
612	1285	1096
613	1287	1094
614	1290	1093
615	1293	1091
616	1295	1089
617	1297	1087
618	1299	1085
619	1301	1083
620	1304	1081
621	1306	1079
622	1308	1077
623	1310	1074
624	1312	1072
625	1314	1070
626	1316	1068
627	1318	1066
628	1321	1064
629	1323	1063
